OGF_ID,OFFICIAL_NAME,PARK_OR_RESERVE_IDENT,REGULATED_IND,LOCATION_ACCURACY,LOCATION_DESCR,GEOG_UNIT_DESCR,SENSITIVITY_CLASS,SENSITIVITY_DATE,SENSITIVITY_RATIONALE,SENS_RATIONALE_OTHER_DESCR,VERIFICATION_STATUS_FLG,VERIFICATION_STATUS_DATE,BUSINESS_EFF_DATE_FLG,BUSINESS_EFFECTIVE_DATE,BUSINESS_EXPIRY_DATE,SYSTEM_CALCULATED_AREA,SYSTEM_CALCULATED_LENGTH,USER_CALCULATED_METRIC,GENERAL_COMMENTS,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID,SHAPEAREA,SHAPELEN
1200809324,Rouge Park,176467364853239,,RE Reliable (to 100m),"York Twp., Conc. 3 part Lot 5",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/08/28 00:00:00+00,Estimated,1998/08/28 11:44:23+00,,3737,,0,,,1998/11/23 12:50:43+00,2004/01/08 16:22:27+00,374,0,0
1200809321,Rouge Park,176467734852877,,RE Reliable (to 100m),"York Twp., Conc. 3 part Lot 5",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/08/28 00:00:00+00,Estimated,1998/08/28 11:37:23+00,,56458,,0,,,1998/11/23 12:50:42+00,2004/01/08 16:22:27+00,375,0,0
1200809308,Rouge Park,176490054852340,,RE Reliable (to 100m),"York Twp, Conc. 2 Lots 1,23, Conc. 3, pt Lots 1,2 Pickering Twp., Conc. R1 Lots 33,34,35",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/08/21 00:00:00+00,Estimated,1998/08/21 16:04:02+00,,2036653,,0,,,1998/11/23 12:50:37+00,2004/01/08 16:22:27+00,376,0,0
1200809387,Rouge Park,176447264852537,,RE Reliable (to 100m),"York Twp., Conc. 3, part Lot 9 and 10",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/08/28 00:00:00+00,Estimated,1998/08/28 14:49:37+00,,113548,,0,,,1998/11/23 12:51:07+00,2004/01/08 16:22:27+00,377,0,0
1200809323,Rouge Park,176468544852517,,RE Reliable (to 100m),"York Twp., Conc. 3 Lot 5",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/08/28 00:00:00+00,Estimated,1998/08/28 11:42:49+00,,5615,,0,,,1998/11/23 12:50:43+00,2004/01/08 16:22:27+00,378,0,0
1200809309,Rouge Park,176483344852036,,RE Reliable (to 100m),"York Twp, Conc. 2 prt Lot 2",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/08/21 00:00:00+00,Estimated,1998/08/21 16:08:21+00,,201116,,0,,,1998/11/23 12:50:37+00,2004/01/08 16:22:27+00,379,0,0
1200809310,Rouge Park,176477044852252,,RE Reliable (to 100m),"York Twp, Conc. 2 prt Lot 3",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/08/21 00:00:00+00,Estimated,1998/08/21 16:22:42+00,,11751,,0,,,1998/11/23 12:50:38+00,2004/01/08 16:22:27+00,380,0,0
1200809307,Rouge Park,176500854851979,,RE Reliable (to 100m),"Pickering Twp., R1 Lot 33",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/08/21 00:00:00+00,Estimated,1998/08/21 16:01:40+00,,16851,,0,,,1998/11/23 12:50:36+00,2004/01/08 16:22:27+00,381,0,0
1200809306,Rouge Park,176506394851216,,RE Reliable (to 100m),"Pickering Twp., R2 pt Lots 31,32 R1 pt Lots 32,33,34",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/08/21 00:00:00+00,Estimated,1998/08/21 15:58:38+00,,1002503,,0,,,1998/11/23 12:50:36+00,2004/01/08 16:22:27+00,382,0,0
1200809304,Rouge Park,176514874850669,,RE Reliable (to 100m),"Pickering Twp., R2 pt Lots 31,32",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/08/21 00:00:00+00,Estimated,1998/08/21 15:49:12+00,,144403,,0,,,1998/11/23 12:50:35+00,2004/01/08 16:22:27+00,383,0,0
1200809305,Rouge Park,176513184850618,,RE Reliable (to 100m),"Pickering Twp., R2 pt Lots 31,32",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/08/21 00:00:00+00,Estimated,1998/08/21 15:56:09+00,,12658,,0,,,1998/11/23 12:50:36+00,2004/01/08 16:22:27+00,384,0,0
50839184,Mainitouwadge Municipal Park,165877185442837,,^  Data Load,,,Non-Sensitive,2007/01/06 23:22:30+00,No Restriction Needed,,Verified,1997/07/07 00:00:00+00,Estimated,1997/07/07 00:00:00+00,,23712,,,,,1997/08/18 12:57:49+00,2003/12/05 10:04:04+00,385,0,0
800732600,,,No,AP Approximate (to 500m),Thompson Twp,Municipal park - Joint venture between Huron Shores and Mississaugi First Nation,Non-Sensitive,2007/01/06 21:30:28+00,No Restriction Needed,,Verified,2001/06/04 00:00:00+00,Estimated,2001/03/01 00:00:00+00,,807664.494,3475.298,0,KND 10369,,2001/06/04 15:42:12+00,2004/01/14 11:38:56+00,386,0,0
67381449,Chapleau Peace Park,,No,Within 5 metres,,,Non-Sensitive,2007/01/06 21:18:12+00,No Restriction Needed,,Verified,2006/06/30 15:14:31+00,Actual,2006/06/30 00:00:00+00,,6644.872,559.694,,,,2006/06/30 15:14:42+00,2006/07/12 11:20:36+00,387,0,0
67381450,Chapleau Town Boardwalk,,,Within 10 metres,,,Non-Sensitive,2007/01/07 02:19:55+00,No Restriction Needed,,Verified,2006/06/30 15:17:12+00,Estimated,2006/06/30 00:00:00+00,,11521.868,863.91,,,,2006/06/30 15:17:27+00,2006/07/12 11:20:36+00,388,0,0
