OGF_ID,PROTECTED_SITE_IDENT,PROTECTED_AREA_NAME_ENG,PROTECTED_AREA_NAME_FR,PROTECTED_AREA_NAME_OJIBWA,PROTECTED_AREA_NAME_OJI_CREE,PROTECTED_AREA_NAME_CREE,TYPE_ENG,TYPE_FR,STATUS_ENG,STATUS_FR,COMMON_SHORT_NAME,IUCN_CATEGORY,REGULATION_DATE,REGULATION_NUMBER,REGULATED_AREA,OPERATING_STATUS_IND,PROVINCIAL_PARK_CLASS_ENG,PROVINCIAL_PARK_CLASS_FR,NSUID,PARENTID,OWNER_ENG,OWNER_FR,MANAGEMENT_ENG,MANAGEMENT_FR,LOCATION_ENG,LOCATION_FR,LEGISLATION,PROTDATE,URL,M_AREA,PROV_PARK_ADMIN_ZONE_ID,CLUSTER_NAME,SYSTEM_CALCULATED_AREA,GENERAL_COMMENTS,OVERLAY_IND,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID,SHAPEAREA,SHAPELEN
963748,P1717e,KAP-KIG-IWAN PROVINCIAL PARK (NATURAL ENVIRONMENT CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,KAP-KIG-IWAN   ,II,2001/10/05 00:00:00+00,383/01,461,Yes,Natural Environment,Environnement naturel,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",1957,www.ontarioparks.com/english/,,66563676,Cochrane Cluster (Northeast Zone),4605832.793,,No,,2015/11/12 11:13:17+00,2021/04/29 16:59:25+00,36001,0,0
963921,P2370e,WOODLAND CARIBOU PROVINCIAL PARK (WILDERNESS CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,WOODLAND CARIBOU  ,Ib,2014/05/01 00:00:00+00,121/14,470620,Yes,Wilderness,Région sauvage,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",1983,www.ontarioparks.com/english/,,66563677,Red Lake Cluster (Northwest Zone),4706251257.283,more OHN edits to come,No,2019/12/20 17:27:39+00,2019/12/20 17:21:21+00,2021/04/29 16:59:25+00,36017,0,0
963880,P1917,SOLACE PROVINCIAL PARK (WATERWAY CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,SOLACE  ,II,1989/05/08 00:00:00+00,256/89,5943,Yes,Waterway,Voie navigable,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",1989,www.ontarioparks.com/english/,,66563676,Temagami Area Cluster (Northeast Zone),55355085.63,,No,,2017/07/11 16:31:26+00,2021/04/29 16:59:25+00,36033,0,0
963860,P2589,SANDPOINT ISLAND PROVINCIAL PARK (NATURAL ENVIRONMENT CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,SANDPOINT ISLAND  ,II,1990/03/02 00:00:00+00,100/90,914,No,Natural Environment,Environnement naturel,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",1985,www.ontarioparks.com/english/,,66563677,Kenora Cluster (Northwest Zone),8984391.152,OHN Edit,No,2018/09/21 18:05:05+00,2019/12/20 17:18:57+00,2021/04/29 16:59:25+00,36081,0,0
963893,P2614,TIDE LAKE PROVINCIAL PARK (NATURE RESERVE CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,TIDE LAKE  ,Ia,1997/02/20 00:00:00+00,52/97,54,No,Nature Reserve,Réserve naturelle,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",1997,www.ontarioparks.com/english/,,66563677,Kenora Cluster (Northwest Zone),502033.053,,No,,2017/07/11 17:00:54+00,2021/04/29 16:59:25+00,36113,0,0
963706,P4441,EMILY PROVINCIAL PARK (RECREATIONAL CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,EMILY  ,II,1977/12/31 00:00:00+00,267/77,83.37,Yes,Recreational,Loisirs,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",1957,www.ontarioparks.com/english/,,66563681,Emily Cluster (Southeast Zone),852985.693,,No,,2017/07/11 16:20:07+00,2021/04/29 16:59:25+00,36129,0,0
963657,P2631,ARROW LAKE PROVINCIAL PARK (RECREATIONAL CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,ARROW LAKE  ,II,2001/10/05 00:00:00+00,382/01,386,Yes,Recreational,Loisirs,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",1957,www.ontarioparks.com/english/,,66563677,Kakabeka Cluster (Northwest Zone),3968594.119,,No,,2019/04/23 13:58:54+00,2021/04/29 16:59:25+00,36145,0,0
963834,P4475,POINT FARMS PROVINCIAL PARK (RECREATIONAL CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,POINT FARMS  ,II,1970/12/31 00:00:00+00,165/70,307.57,Yes,Recreational,Loisirs,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",1970,www.ontarioparks.com/english/,,66563682,The Pinery Cluster (Southwest Zone),2839206.224,,No,,2017/07/11 16:23:24+00,2021/04/29 16:59:25+00,36161,0,0
69989354,P403,DRIFTWOOD PROVINCIAL PARK (RECREATIONAL CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,DRIFTWOOD  ,II,1998/04/23 00:00:00+00,167/98,422.3,Yes,Recreational,Loisirs,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",1963,www.ontarioparks.com/english/,,66563680,Mattawa-Ottawa River Valley Cluster (Algonquin Zone),4029875.251,,No,,2017/07/11 16:27:08+00,2021/04/29 16:59:25+00,36177,0,0
69940940,P3707,SEVERN RIVER PROVINCIAL PARK,,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,SEVERN RIVER  ,II,1989/05/24 00:00:00+00,290/89,82960,No,Waterway,Voie navigable,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",1989,www.ontarioparks.com/english/,,66563677,Dryden Cluster (Northwest Zone),798313762.783,,No,,2015/11/12 11:13:18+00,2021/04/29 16:59:25+00,36193,0,0
